kind	module	api	task_count	source_count	accesses	calls	imports	classification	stage	tasks	sources
module	argparse		6	6				pure shim	2		['build-merkle-tree-cli-sha512/solution/solve.sh::<python-heredoc-1>', 'etl_checkpoint_resume_bug/environment/app/main.py', 'mech-system/solution/solve.sh::<python-heredoc-1>']
module	bisect		0	0				pure shim	2		[]
module	collections		16	29				pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'book-portfolio-analysis/tests/grader.py', 'build-system-task-ordering/solution/solve.sh::<python-heredoc-1>']
module	dataclasses		2	2				pure shim	2		['mech-system/solution/solve.sh::<python-heredoc-1>', 'multi-labeller/solution/solve.sh::<python-heredoc-1>']
module	enum		1	2				pure shim	2		['fix_async_worker_queue/environment/worker_queue.py', 'fix_async_worker_queue/solution/solve.sh::<python-heredoc-1>']
module	functools		0	0				pure shim	2		[]
module	heapq		1	1				pure shim	2		['grpc-plant-position-server/tests/grader.py']
module	itertools		1	1				pure shim	2		['bracket-sequence-restoration/environment/generate_tests.py']
module	json		75	147				pure shim	1		['anomaly-detection-ranking/solution/solve.sh::<python-heredoc-1>', 'anomaly-detection-ranking/tests/grader.py', 'anomaly-detection-ranking/tests/test_outputs.py']
module	math		6	9				safe native	2		['bloom-filter-cache-penetration-prevention/solution/solve.sh::<python-heredoc-1>', 'bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'container-registry-optimization/solution/solve.sh::<python-heredoc-1>']
module	os		69	93				VFS wrapper	1		['anomaly-detection-ranking/tests/test_outputs.py', 'application-debug/solution/solve.sh::<python-heredoc-1>', 'auth_token_race_condition/environment/auth_gateway/jwt_utils.py']
module	pytest		62	64				pure shim	3		['anomaly-detection-ranking/tests/test_outputs.py', 'auth_token_race_condition/tests/test_outputs.py', 'bandit-delayed-feedback/tests/test_outputs.py']
module	re		30	35				pure shim	2		['application-debug/tests/test_outputs.py', 'bash-log-processor-fix/tests/grader.py', 'book-portfolio-analysis/tests/grader.py']
module	string		2	2				pure shim	2		['pandas-numpy-data-analysis/tests/grader.py', 'word-derangement-mapping/tests/grader.py']
module	subprocess		32	37				VFS wrapper	3		['acl-permissions-inheritance/tests/test_outputs.py', 'amuse-install/tests/test_outputs.py', 'api-endpoint-permission-canonicalizer/tests/test_outputs.py']
module	sys		26	47				safe native	1		['api-endpoint-permission-canonicalizer/tests/test_outputs.py', 'application-debug/solution/solve.sh::<python-heredoc-1>', 'bloom-filter-cache-penetration-prevention/tests/test_outputs.py']
module	typing		57	75				pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'auth_token_race_condition/environment/auth_gateway/jwt_utils.py', 'auth_token_race_condition/environment/auth_gateway/main.py']
module	unittest		0	0				pure shim	3		[]
api	argparse	argparse.ArgumentParser	6	6	6	6	0	pure shim	2		['build-merkle-tree-cli-sha512/solution/solve.sh::<python-heredoc-1>', 'etl_checkpoint_resume_bug/environment/app/main.py', 'mech-system/solution/solve.sh::<python-heredoc-1>']
api	argparse	argparse.Namespace	1	1	1	0	0	pure shim	2		['mech-system/solution/solve.sh::<python-heredoc-1>']
api	collections	collections.Counter	2	2	4	4	0	pure shim	1		['book-portfolio-analysis/tests/grader.py', 'jsonl-aggregator/solution/solve.sh::<python-heredoc-1>']
api	collections	collections.defaultdict	10	23	105	105	0	pure shim	1		['build-system-task-ordering/solution/solve.sh::<python-heredoc-1>', 'build-system-task-ordering/tests/test_outputs.py', 'distributed-test-execution-scheduler/environment/task_file/scripts/model.py']
api	collections	collections.deque	4	4	7	2	0	pure shim	1		['monorepo-changelog-cli/solution/solve.sh::<python-heredoc-1>', 'python-api-rate-limit/solution/solve.sh::<python-heredoc-1>', 'submission_a63937a5_20251224_152124/solution/solve.sh::<python-heredoc-1>']
api	dataclasses	dataclasses.dataclass	1	1	1	1	0	pure shim	2		['multi-labeller/solution/solve.sh::<python-heredoc-1>']
api	enum	enum.Enum	1	2	2	0	0	pure shim	2		['fix_async_worker_queue/environment/worker_queue.py', 'fix_async_worker_queue/solution/solve.sh::<python-heredoc-1>']
api	heapq	heapq.heappop	1	1	2	2	0	pure shim	2		['grpc-plant-position-server/tests/grader.py']
api	heapq	heapq.heappush	1	1	4	4	0	pure shim	2		['grpc-plant-position-server/tests/grader.py']
api	json	json.JSONDecodeError	12	13	26	0	0	pure shim	1		['build-merkle-tree-cli-sha512/tests/test_outputs.py', 'image-tile-identification/tests/grader.py', 'iot-device-registration-server/solution/solve.sh::<python-heredoc-1>']
api	json	json.dump	59	73	127	127	0	pure shim	1		['anomaly-detection-ranking/solution/solve.sh::<python-heredoc-1>', 'anomaly-detection-ranking/tests/test_outputs.py', 'application-debug/solution/solve.sh::<python-heredoc-1>']
api	json	json.dumps	13	21	38	38	0	pure shim	1		['auth_token_race_condition/environment/auth_gateway/token_service.py', 'bloom-filter-cache-penetration-prevention/solution/solve.sh::<python-heredoc-1>', 'build-merkle-tree-cli-sha512/solution/solve.sh::<python-heredoc-1>']
api	json	json.load	41	54	270	270	0	pure shim	1		['application-debug/tests/test_outputs.py', 'bandit-delayed-feedback/solution/solve.sh::<python-heredoc-1>', 'bandit-delayed-feedback/tests/test_outputs.py']
api	json	json.loads	15	22	73	73	0	pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'auth_token_race_condition/environment/auth_gateway/token_service.py', 'bloom-filter-cache-penetration-prevention/solution/solve.sh::<python-heredoc-1>']
